subject,professor,lecture_type,time,room
CAD및실습,육기철,일반,전주:공과대학 8호관 402 ,"수 9-A,수 9-B,수 10-A,수 10-B,금 8-A,금 8-B,금 9-A,금 9-B"
CAD와주거공간계획실습,유문상,일반,전주:생활과학대학 507 ,"금 1-A,금 1-B,금 2-A,금 2-B,금 3-A,금 3-B,금 4-A,금 4-B,금 5-A,금 5-B"
CAD응용,백성현,일반,전주:공과대학 4호관 405 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
CAD응용,백성현,일반,전주:공과대학 4호관 405 ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
CATIA및실습,나석찬,일반,새만금:산학융합지구캠퍼스동 102 ,"화 6-A,화 6-B,화 7-A,화 7-B,화 8-A,화 8-B,화 9-A,화 9-B"
CATIA및실습,나석찬,일반,새만금:산학융합지구캠퍼스동 102 ,"토 5-A,토 5-B,토 6-A,토 6-B,토 7-A,토 7-B,토 8-A,토 8-B"
CNC가공시스템,윤재영,일반,전주:공과대학 3호관 410 ,"월 3-A,월 3-B,월 4-A,월 4-B,월 5-A,월 5-B"
Contemporary Film(Contemporary Film),박재영,일반,전주:사범대 본관 104 ,"화 6-B,화 7-A,화 7-B,목 8-A,목 8-B,목 9-A"
Cultural Anthropology through a Japanese Perspective,오자키 타카히로,원격강좌(실시간),:  ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
Culture and International Relations(Culture and International Relations),신보람,일반,전주:글로벌인재관 207 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
C언어기초,최준용,일반,전주:공과대학 1호관 161 ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
C언어기초,유소월,일반,전주:공과대학 1호관 158 ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
C언어기초,정인숙,일반,전주:공과대학 1호관 246 ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
C언어기초,조성현,일반,전주:공과대학 1호관 158 ,"수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B"
C언어기초,조성현,일반,전주:공과대학 1호관 158 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
C언어기초,송영호,일반,전주:공과대학 1호관 161 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
C언어기초,이지현,일반,전주:공과대학 5호관 507 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
C언어기초,정인숙,일반,전주:공과대학 1호관 158 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
C언어기초,송영호,일반,전주:공과대학 1호관 158 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
C언어기초,유소월,일반,전주:공과대학 1호관 161 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
C언어기초,이중열,일반,전주:공과대학 1호관 246 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
C언어기초,이중열,일반,전주:공과대학 1호관 161 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
C언어기초,최성호,일반,전주:공과대학 1호관 158 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
DELE회화 1,달리아 룸브레라스 코보,일반,전주:인문대학1호관 501 ,"월 8-A,월 8-B,월 9-A,월 9-B,수 8-A,수 8-B"
Deutsche Konversation,후리드헬름바겐,일반,전주:사범대 본관 110 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
Development Economics(Development Economics),리우아에딘 마리엠,원격강좌(실시간),:  ,"화 8-A,화 8-B,화 9-A,화 9-B,목 8-A,목 8-B"
Development Management(Development Management),이진영,일반,전주:글로벌인재관 207 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
FTA와WTO법,안현기,일반,전주:상과대학 1호관 302 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
GIS공간분석중급,김유정,일반,전주:공과대학 9호관 913 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
GIS와경관생태학,최영은,일반,익산:제1 환생대관 6104 ,"월 2-A,월 2-B,월 3-A,월 3-B,월 4-A,월 4-B"
"Gender, Politics and the Law(Gender, Politics and the Law)",장휘,일반,전주:글로벌인재관 218 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B"
Global Innovation and Development(Global Innovation and Development),이영주,일반,전주:글로벌인재관 207 ,"수 7-A,수 7-B,수 8-A,수 8-B,수 9-A,수 9-B"
Glocal-IT세미나 1,임동구,블렌디드러닝,전주:공과대학 7호관 329 ,"목 7-A,목 7-B"
IAB공학과법,신봉근,일반,전주:공과대학 4호관 126 ,"화 3-A,화 3-B,화 4-A,목 1-B,목 2-A,목 2-B"
IAB사례연구,유경한,일반,전주:학습도서관 202 ,"월 5-A,월 5-B,수 4-A,수 4-B,수 5-A,수 5-B"
IAB입문및응용,안계현,일반,전주:학습도서관 202 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
IAB프로그래밍,양성준,일반,전주:학습도서관 202 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B,목 4-A,목 4-B"
ICT융복합의이해,유찬주,블렌디드러닝,:  ,"토 5-A,토 5-B,토 6-A,토 6-B,토 7-A,토 7-B"
IT융복합종합설계,김정무,일반,전주:공과대학 8호관 205 ,"월 8-A,월 8-B,월 9-A,월 9-B,월 10-A,월 10-B,수 8-A,수 8-B"
IT융복합종합설계,김정자,일반,전주:공과대학 1호관 302 ,"수 10-A,수 10-B,수 11-A,수 11-B,수 12-A,수 12-B,금 8-A,금 8-B,금 9-A,금 9-B,금 10-A,금 10-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
International Development Cooperation in Northeast Asia(International Development Cooperation in Northeast Asia),최재헌,일반,전주:글로벌인재관 217 ,"금 6-A,금 6-B,금 7-A,금 7-B,금 8-A,금 8-B"
International Political Economy(International Political Economy),강봉주,일반,전주:글로벌인재관 207 ,"금 2-A,금 2-B,금 3-A,금 3-B,금 4-A,금 4-B"
Introduction to Economics(Introduction to Economics),강봉주,일반,전주:글로벌인재관 207 ,"금 6-A,금 6-B,금 7-A,금 7-B,금 8-A,금 8-B"
Introduction to Human Rights(Introduction to Human Rights),장휘,일반,전주:글로벌인재관 207 ,"목 5-A,목 5-B,목 6-A,목 6-B,목 7-A,목 7-B"
Introduction to Public Administration(Introduction to Public Administration),조기웅,일반,전주:사회과학대학 318 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
Introduction to Semiconductors(Introduction to Semiconductors),아민 사디아,일반,전주:뉴실크로드센터 201 ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,수 3-B"
Introduction to the Middle East(Introduction to the Middle East),이수진,일반,전주:진수당 503 ,"월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B"
IoT를위한인공지능반도체,이윤경,일반,전주:공과대학 5호관 303 ,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B"
JAVA프로그래밍,이지현,일반,전주:공과대학 5호관 507 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
JAVA프로그래밍및실습 1,우선미,일반,전주:공과대학 5호관 507 ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B,토 4-A,토 4-B"
JBNU-KIST산학연융합세미나 2,김민수,일반,전주:공과대학 9호관 305 ,"월 8-A,월 8-B,월 9-A,월 9-B,월 10-A,월 10-B"
JIANT-IT세미나 1(JIANT-IT Seminar 1),임동구,블렌디드러닝,전주:공과대학 7호관 329 ,"목 8-A,목 8-B,목 9-A,목 9-B"
K-Food: 한국인의똑똑한밥상,차연수,원격강좌(콘텐츠),:  ,"금 9-A,금 9-B,금 10-A,금 10-B,금 11-A,금 11-B"
K-Food: 한국인의똑똑한밥상,김충기,일반,남원:지역산업학과 본관(가칭) 203 ,"월 11-A,월 11-B,월 12-A,월 12-B,월 13-A,월 13-B"
K-World: Korea’s Cultural Exchange with the World(K-World: Korea’s Cultural Exchange with the World),권의석,일반,전주:뉴실크로드센터 201 ,"수 7-A,수 7-B,수 8-A,수 8-B,수 9-A,수 9-B"
K-이론,황원태,일반,전주:자연과학대학본관 417 ,"수 6-A,수 6-B,수 7-A,수 7-B,수 8-A,수 8-B"
Korea and World Politics(Korea and World Politics),곽동진,일반,전주:뉴실크로드센터 201 ,"금 6-A,금 6-B,금 7-A,금 7-B,금 8-A,금 8-B"
Korean Traditional Archery Class(Korean Traditional Archery Class),김산,일반,전주:체육관 101 ,"화 6-A,화 6-B,화 7-A,화 7-B,수 3-A,수 3-B"
Korea’s place in the world: The middle power diplomacy(Korea’s place in the world: The middle power diplomacy),김수원,일반,전주:인문대학2호관 106 ,"화 7-A,화 7-B,화 8-A,화 8-B,화 9-A,화 9-B"
LED응용공학및실험,소홍섭,일반,전주:공과대학 5호관 513 ,"화 8-A,화 8-B,화 9-A,화 9-B,목 6-A,목 6-B,목 7-A,목 7-B"
Movement Therapy(Movement Therapy),이정숙,일반,전주:예체능관 110 ,"화 1-A,화 1-B,화 2-A,화 2-B,화 3-A,화 3-B"
